Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP2
2,10.0,0,0.089291137,8,146.7102,9,1999,1,0,1,3791.0652,2
1,12.6,1,0.059511812,6,128.0678,5,1985,1,2,3,2797.6916,1
0,8.85,1,0.113123893,14,122.5388,3,2009,1,2,2,1609.9044,1
1,12.6,1,0.123111453,13,36.9874,5,1985,1,2,3,388.1614,0
1,12.6,0,0.026480954,13,87.6198,5,1985,1,2,3,2180.495,1
1,13.35,0,0.102511504,4,230.6352,8,1997,2,0,1,3435.528,3
1,9.8,0,0.02681843,10,126.002,1,1987,0,2,1,2150.534,1
1,13.6,0,0.117818348,13,192.9136,9,1999,1,0,1,2527.3768,2
1,21.35,0,0.069102831,3,259.9278,3,2009,1,2,2,6768.5228,3
1,12.15,1,0.042277867,3,126.5046,1,1987,0,2,1,373.5138,1
1,6.42,0,0.089498926,4,178.1002,0,1998,2,2,0,358.2004,2
1,10.0,0,0.025879577,3,265.2226,7,2002,1,1,1,5815.0972,3
1,15.85,1,0.121632721,0,60.622,8,1997,2,0,1,2576.646,0
2,7.39,0,0.067779712,8,143.8812,8,1997,2,0,1,3134.5864,2
1,10.195,0,0.159803853,5,141.5154,1,1987,0,2,1,850.8924,2
1,9.895,1,0.028696932,3,117.0492,1,1987,0,2,1,810.9444,1
1,10.895,0,0.065041581,6,196.3794,2,2007,1,1,1,3121.2704,2
2,12.15,0,0.028760013,9,151.4708,2,2007,1,1,1,4815.0656,2
1,7.905,0,0.010053105,13,249.0408,3,2009,1,2,2,6258.52,3
2,9.195,0,0.048157338,9,106.1622,7,2002,1,1,1,2117.244,1
0,8.365,0,0.071958197,7,38.0506,9,1999,1,0,1,796.9626,0
1,15.1,0,0.173481304,13,194.511,8,1997,2,0,1,4910.275,2
1,12.6,0,0.061082177,3,180.0344,4,1985,2,0,0,892.172,2
1,7.97,1,0.040071131,10,87.3514,7,2002,1,1,1,1062.6168,1
1,12.6,0,0.012090074,6,38.2848,5,1985,1,2,3,484.7024,0
1,12.6,1,0.15028599,5,51.0692,4,1985,2,0,0,147.8076,0
1,12.6,0,0.026015519,13,255.8356,5,1985,1,2,3,2543.356,3
1,17.7,0,0.195068226,13,185.4266,0,1998,2,2,0,184.4266,2
1,19.35,0,0.033082215,10,172.5738,6,2004,2,1,1,4865.6664,2
1,13.65,1,0.078946455,4,186.024,7,2002,1,1,1,1118.544,2
0,17.6,0,0.041700756,14,164.8526,7,2002,1,1,1,2302.3364,2
2,8.645,0,0.143422643,8,95.841,8,1997,2,0,1,2027.361,1
1,15.6,1,0.105296072,13,170.1764,8,1997,2,0,1,3435.528,2
1,15.85,1,0.121531501,0,59.222,1,1987,0,2,1,599.22,0
1,7.855,0,0.011324862,3,189.6188,2,2007,1,1,1,2285.0256,2
2,7.825,0,0.186357148,9,254.3698,9,1999,1,0,1,5580.7356,3
1,8.39,1,0.024205661,5,114.0176,8,1997,2,0,1,2290.352,1
1,12.85,0,0.033230816,13,172.3422,9,1999,1,0,1,1207.0954,2
1,12.6,0,0.113720344,0,89.9804,4,1985,2,0,0,643.1628,1
1,19.0,0,0.112556507,5,104.9622,2,2007,1,1,1,1587.933,1
1,7.76,0,0.059352241,13,101.87,8,1997,2,0,1,1697.79,1
1,11.8,1,0.014087057,5,180.3344,8,1997,2,0,1,1427.4752,2
1,16.75,0,0.045230944,13,187.9556,3,2009,1,2,2,4693.89,2
1,12.6,1,0.031382044,0,171.3764,5,1985,1,2,3,3091.9752,2
1,15.5,1,0.12639886,6,177.0028,2,2007,1,1,1,2479.4392,2
1,6.055,0,0.025403898,6,160.992,6,2004,2,1,1,2716.464,2
1,12.6,1,0.039057677,2,155.963,5,1985,1,2,3,3285.723,2
1,6.305,1,0.123115764,13,95.6436,8,1997,2,0,1,661.8052,1
1,20.85,0,0.039624006,10,117.2808,9,1999,1,0,1,1523.3504,1
1,20.75,0,0.040421193,6,122.173,0,1998,2,2,0,369.519,1
0,8.895,0,0.105274111,4,39.9138,9,1999,1,0,1,690.4346,0
0,19.6,0,0.033970195,14,55.1614,7,2002,1,1,1,1381.535,0
1,19.7,0,0.053212652,6,57.893,6,2004,2,1,1,622.523,0
2,9.8,0,0.024378706,8,114.5492,6,2004,2,1,1,1274.3412,1
1,12.6,0,0.009714595,5,120.0414,4,1985,2,0,0,487.3656,1
1,12.15,0,0.131383762,5,246.046,9,1999,1,0,1,1231.73,3
1,8.75,1,0.07461309,6,187.4556,6,2004,2,1,1,3755.112,2
2,12.6,0,0.028459761,9,149.9708,5,1985,1,2,3,4363.6532,2
1,8.75,1,0.074627201,6,187.8556,8,1997,2,0,1,1314.2892,2
1,13.3,0,0.063695084,5,151.0708,7,2002,1,1,1,1805.6496,2
1,12.6,1,0.045797829,13,178.5344,5,1985,1,2,3,2854.9504,2
1,8.31,1,0.115857223,13,179.1028,9,1999,1,0,1,3896.2616,2
0,16.75,1,0.024832806,14,38.7822,1,1987,0,2,1,667.7974,0
1,19.75,0,0.034027909,13,212.0902,3,2009,1,2,2,3185.853,3
1,17.1,1,0.0467696,3,141.1838,1,1987,0,2,1,2247.7408,2
1,10.5,1,0.116576702,0,163.121,1,1987,0,2,1,1794.331,2
0,14.15,0,0.035913805,14,41.4138,1,1987,0,2,1,812.276,0
1,13.3,0,0.079806266,4,232.53,8,1997,2,0,1,699.09,3
1,8.89,0,0.005505481,5,102.4016,2,2007,1,1,1,2732.4432,1
1,12.6,1,0.064625342,10,176.937,4,1985,2,0,0,176.437,2
1,12.6,0,0.071636937,13,121.7098,5,1985,1,2,3,4097.3332,1
1,7.5,0,0.032677678,5,239.0906,9,1999,1,0,1,5942.265,3
1,16.85,1,0.160760054,5,192.4478,2,2007,1,1,1,4843.695,2
1,7.485,0,0.06911065,13,109.0228,6,2004,2,1,1,2542.0244,1
0,11.6,0,0.041177505,14,140.3154,2,2007,1,1,1,2552.6772,2
1,11.65,0,0.040081193,13,227.0694,3,2009,1,2,2,1141.847,3
2,13.0,0,0.035307322,9,47.5034,2,2007,1,1,1,680.4476,0
0,12.65,0,0.063017847,14,159.0578,7,2002,1,1,1,2085.9514,2
1,20.25,1,0.171938781,3,92.512,0,1998,2,2,0,186.424,1
1,8.6,1,0.040197932,3,190.153,6,2004,2,1,1,3036.048,2
1,12.6,0,0.049058014,1,62.7194,2,2007,1,1,1,866.8716,0
1,17.7,0,0.01161096,5,95.041,6,2004,2,1,1,868.869,1
0,14.15,0,0.183507295,14,82.4276,8,1997,2,0,1,1137.1864,1
1,19.25,0,0.102349519,4,52.7956,2,2007,1,1,1,928.1252,0
0,8.88,0,0.086708987,7,151.7682,1,1987,0,2,1,762.341,2
2,20.5,0,0.032835147,9,40.2822,7,2002,1,1,1,707.0796,0
2,13.5,0,0.07266912,9,160.292,8,1997,2,0,1,1438.128,2
2,12.6,0,0.144338493,8,224.4404,5,1985,1,2,3,6976.2524,3
1,8.89,0,0.009163216,5,101.7016,0,1998,2,2,0,101.2016,1
1,7.855,0,0.011307038,3,188.5188,3,2009,1,2,2,952.094,2
2,7.235,0,0.076855628,9,116.0492,8,1997,2,0,1,1969.4364,1
1,12.6,0,0.059956876,15,165.4526,5,1985,1,2,3,5262.4832,2
1,6.92,0,0.038532062,4,60.5852,7,2002,1,1,1,1314.2892,0
1,9.3,0,0.043209581,6,90.8172,2,2007,1,1,1,535.3032,1
2,18.5,0,0.056816465,11,132.1284,0,1998,2,2,0,263.6568,1
2,8.02,0,0.019866705,9,154.5972,6,2004,2,1,1,1402.1748,2
2,9.195,0,0.048331717,9,105.1622,2,2007,1,1,1,1693.7952,1
2,12.8,0,0.091221855,11,105.5938,7,2002,1,1,1,2143.876,1
2,16.6,0,0.027622076,9,177.6344,9,1999,1,0,1,2676.516,2
1,16.0,0,0.060836524,15,226.8404,6,2004,2,1,1,6301.1312,3
2,17.6,0,0.082316506,8,160.692,6,2004,2,1,1,1597.92,2
1,21.25,0,0.155350299,13,178.237,6,2004,2,1,1,529.311,2
2,7.235,0,0.076841095,9,117.5492,6,2004,2,1,1,1969.4364,1
0,14.6,0,0.151419185,14,50.3692,2,2007,1,1,1,1034.6532,0
1,13.85,1,0.026001976,5,161.521,3,2009,1,2,2,1794.331,2
1,13.65,1,0.073209447,5,197.6426,3,2009,1,2,2,2768.3964,2
0,12.6,0,0.041683481,14,31.29,5,1985,1,2,3,898.83,0
1,7.365,0,0.042560252,6,226.172,8,1997,2,0,1,3169.208,3
2,18.35,0,0.014081156,9,223.5746,3,2009,1,2,2,3589.9936,3
1,18.6,0,0.152918384,2,99.8358,2,2007,1,1,1,1910.1802,1
0,13.85,0,0.030969274,14,140.9154,2,2007,1,1,1,1701.7848,2
1,14.0,1,0.060376776,5,154.5656,1,1987,0,2,1,2471.4496,2
1,14.0,1,0.04192285,13,54.764,1,1987,0,2,1,1331.6,0
1,12.6,0,0.077367431,6,97.0094,5,1985,1,2,3,1808.9786,1
1,5.905,0,0.045838211,3,222.5456,3,2009,1,2,2,3315.684,3
0,7.27,0,0.071077939,14,114.2518,8,1997,2,0,1,2618.5914,1
1,6.155,1,0.094659871,10,214.556,8,1997,2,0,1,2769.728,3
0,19.5,1,0.077608838,14,233.4958,2,2007,1,1,1,5375.0034,3
1,15.2,0,0.021327477,3,216.8824,2,2007,1,1,1,2838.9712,3
1,12.15,1,0.042485444,3,125.0046,3,2009,1,2,2,1743.0644,1
2,12.6,0,0.025578526,9,198.8084,5,1985,1,2,3,5555.4352,2
1,12.6,0,0.0489808,1,61.9194,3,2009,1,2,2,619.194,0
2,14.5,0,0.019471688,11,164.821,6,2004,2,1,1,2120.573,2
1,16.6,0,0.122918852,6,173.0738,2,2007,1,1,1,3823.0236,2
1,11.8,1,0.057373797,10,151.4366,1,1987,0,2,1,1360.2294,2
1,13.1,1,0.044155597,6,178.8318,1,1987,0,2,1,3969.4996,2
1,12.3,1,0.064750025,15,92.6804,7,2002,1,1,1,1010.6844,1
2,11.8,0,0.098312421,8,81.4618,0,1998,2,2,0,161.1236,1
0,12.6,1,0.191013663,14,42.1112,4,1985,2,0,0,42.6112,0
1,11.1,0,0.176573035,0,157.4604,7,2002,1,1,1,3010.7476,2
1,12.6,1,0.060134441,5,153.0656,5,1985,1,2,3,6024.1584,2
1,11.3,0,0.007294652,10,198.1426,7,2002,1,1,1,988.713,2
2,12.6,0,0.128478462,8,117.944,4,1985,2,0,0,239.688,1
1,5.75,1,0.075107656,4,112.8176,1,1987,0,2,1,1374.2112,1
1,12.6,1,0.049381406,0,226.8062,5,1985,1,2,3,4739.8302,3
1,11.35,1,0.045165796,13,100.0016,3,2009,1,2,2,1012.016,1
1,12.6,1,0.09415375,6,165.7526,4,1985,2,0,0,657.8104,2
2,14.0,0,0.028907832,8,130.431,9,1999,1,0,1,778.986,1
1,19.75,1,0.018059621,5,179.766,7,2002,1,1,1,2336.958,2
2,6.525,0,0.090436094,9,85.0882,9,1999,1,0,1,2233.0932,1
1,10.3,0,0.146399712,10,103.9648,9,1999,1,0,1,1661.8368,1
1,5.78,1,0.074264356,13,264.7568,9,1999,1,0,1,4745.8224,3
1,11.85,1,0.050186726,6,164.1526,7,2002,1,1,1,3124.5994,2
1,16.35,0,0.020631654,6,50.1324,3,2009,1,2,2,467.3916,0
2,12.6,0,0.01561108,9,182.5976,5,1985,1,2,3,5070.7328,2
1,10.5,0,0.041395445,6,37.6164,8,1997,2,0,1,540.6296,0
1,19.0,1,0.097313129,5,48.0718,8,1997,2,0,1,992.7078,0
2,14.6,0,0.059582996,11,238.8538,9,1999,1,0,1,6008.845,3
1,12.6,1,0.098663652,4,62.9194,5,1985,1,2,3,2105.2596,0
1,12.6,1,0.101338651,3,232.63,5,1985,1,2,3,5359.69,3
2,18.75,0,0.052146456,8,104.628,7,2002,1,1,1,745.696,1
1,5.26,1,0.041764487,0,161.8868,6,2004,2,1,1,3275.736,2
1,18.25,0,0.054344186,13,140.2154,7,2002,1,1,1,1701.7848,2
1,12.6,0,0.078362484,0,177.937,5,1985,1,2,3,6704.606,2
1,15.1,0,0.052339069,10,242.7512,8,1997,2,0,1,4119.9704,3
1,15.5,1,0.042464962,0,81.5934,0,1998,2,2,0,327.5736,1
1,13.65,0,0.065732883,5,45.7402,9,1999,1,0,1,780.9834,0
0,16.1,0,0.023625114,14,189.3846,7,2002,1,1,1,3630.6074,2
1,12.6,1,0.051643608,13,107.3622,4,1985,2,0,0,317.5866,1
1,12.85,0,0.165694219,5,39.7164,0,1998,2,2,0,231.6984,0
0,9.5,0,0.041878397,14,32.99,6,2004,2,1,1,133.16,0
0,13.8,0,0.058091482,4,245.1802,6,2004,2,1,1,5650.6446,3
2,19.7,0,0.026903714,9,96.0726,7,2002,1,1,1,1272.3438,1
1,6.67,1,0.150554711,13,130.0626,0,1998,2,2,0,131.1626,1
1,13.65,1,0.134975628,5,260.0936,0,1998,2,2,0,260.9936,3
1,17.2,0,0.15616879,10,160.6578,1,1987,0,2,1,3690.5294,2
1,4.88,1,0.133700752,0,52.9298,9,1999,1,0,1,1995.4026,0
1,5.425,1,0.115119905,0,88.3514,2,2007,1,1,1,1416.8224,1
1,15.85,1,0.110030997,5,37.2506,8,1997,2,0,1,265.6542,0
1,7.5,0,0.051038045,3,121.7072,2,2007,1,1,1,3552.7088,1
0,12.65,0,0.062837968,14,161.5578,1,1987,0,2,1,2406.867,2
2,12.6,0,0.017116983,11,211.956,4,1985,2,0,0,213.056,3
1,20.75,0,0.024129332,6,124.173,1,1987,0,2,1,2956.152,1
0,12.6,0,0.049754975,4,152.134,4,1985,2,0,0,153.134,2
1,12.6,0,0.101561568,3,181.9292,5,1985,1,2,3,3101.2964,2
2,12.6,0,0.005949644,9,165.6526,5,1985,1,2,3,4769.1254,2
1,12.6,1,0.13956116,12,170.4764,5,1985,1,2,3,3435.528,2
1,14.1,0,0.126035694,6,86.4198,7,2002,1,1,1,1133.8574,1
1,7.55,0,0.027164679,3,152.334,6,2004,2,1,1,2603.278,2
2,13.0,0,0.099325278,9,45.406,8,1997,2,0,1,605.878,0
0,12.6,0,0.04357366,7,192.8846,5,1985,1,2,3,2293.0152,2
1,12.6,1,0.082741482,13,118.7782,4,1985,2,0,0,119.1782,1
1,12.3,1,0.064565202,15,92.9804,1,1987,0,2,1,1929.4884,1
1,12.6,0,0.084554569,13,109.8912,5,1985,1,2,3,2074.6328,1
2,12.6,0,0.058451805,8,79.9618,5,1985,1,2,3,241.6854,1
2,17.25,0,0.113748685,9,251.3724,7,2002,1,1,1,6795.1548,3
2,15.85,0,0.020603511,9,42.7112,2,2007,1,1,1,639.168,0
2,18.85,0,0.052044976,8,192.1846,6,2004,2,1,1,3248.4382,2
1,16.35,1,0.062764429,6,227.6062,2,2007,1,1,1,7222.5984,3
0,14.1,0,0.087977262,4,229.0668,6,2004,2,1,1,3225.1352,3
1,7.905,0,0.010010425,13,249.0408,6,2004,2,1,1,3755.112,3
1,12.0,0,0.033946163,3,179.3976,1,1987,0,2,1,3440.8544,2
1,12.15,1,0.058414678,6,163.4552,6,2004,2,1,1,974.7312,2
1,10.1,0,0.027106459,10,75.367,9,1999,1,0,1,535.969,1
1,17.5,0,0.027022883,5,262.491,2,2007,1,1,1,5259.82,3
0,12.6,0,0.058153409,4,152.034,4,1985,2,0,0,306.268,2
1,17.1,0,0.128937661,6,112.3886,3,2009,1,2,2,1779.0176,1
1,7.785,0,0.088846306,6,61.451,9,1999,1,0,1,759.012,0
1,11.8,1,0.09357779,13,125.9704,1,1987,0,2,1,1877.556,1
1,13.15,1,0.165694678,6,171.8764,7,2002,1,1,1,3779.0808,2
1,12.6,0,0.148392623,5,41.5796,4,1985,2,0,0,41.2796,0
1,8.5,0,0.098438394,3,51.1324,2,2007,1,1,1,259.662,0
2,8.645,0,0.143303291,8,96.341,1,1987,0,2,1,193.082,1
1,17.6,1,0.076276208,10,110.9202,7,2002,1,1,1,1687.803,1
1,9.1,0,0.175103435,0,127.5362,2,2007,1,1,1,4655.9394,1
1,12.8,1,0.023511371,10,225.9404,1,1987,0,2,1,4950.8888,3
0,7.63,0,0.06105276,14,95.4436,6,2004,2,1,1,1418.154,1
1,9.285,1,0.049559042,5,246.4144,2,2007,1,1,1,1225.072,3
1,13.6,1,0.119418124,4,231.03,7,2002,1,1,1,5359.69,3
1,8.895,0,0.072545601,2,176.237,7,2002,1,1,1,1764.37,2
2,16.35,0,0.090486828,9,195.211,1,1987,0,2,1,2553.343,2
1,17.6,0,0.056245075,5,43.3454,1,1987,0,2,1,1006.6896,0
1,7.975,0,0.014618973,0,85.225,1,1987,0,2,1,1081.925,1
1,15.85,0,0.043479126,15,36.7164,2,2007,1,1,1,308.9312,0
1,15.7,0,0.045166237,5,178.666,1,1987,0,2,1,2516.724,2
1,8.985,1,0.057827101,5,128.831,8,1997,2,0,1,1428.141,1
1,20.35,0,0.089394766,4,260.1594,1,1987,0,2,1,2093.2752,3
1,6.59,0,0.10550944,6,85.6908,1,1987,0,2,1,1929.4884,1
1,19.85,0,0.005234153,4,264.0884,6,2004,2,1,1,5829.7448,3
1,16.85,0,0.036390174,13,91.4488,8,1997,2,0,1,2082.6224,1
1,17.6,1,0.076552407,10,110.5202,2,2007,1,1,1,450.0808,1
1,7.905,0,0.016758569,13,250.4408,0,1998,2,2,0,500.6816,3
1,12.6,0,0.044248175,13,126.202,5,1985,1,2,3,3668.558,1
1,7.785,1,0.038288087,6,103.1964,3,2009,1,2,2,736.3748,1
2,7.825,0,0.186032678,9,253.0698,6,2004,2,1,1,6088.0752,3
2,12.6,0,0.031867464,9,101.0016,5,1985,1,2,3,2125.2336,1
0,20.75,0,0.021370201,14,153.0024,2,2007,1,1,1,2277.036,2
1,12.6,0,0.193772568,6,190.3846,4,1985,2,0,0,573.2538,2
1,6.26,1,0.009866049,10,151.1366,6,2004,2,1,1,2267.049,2
1,18.2,0,0.082551042,6,147.3734,0,1998,2,2,0,296.9468,2
2,13.0,0,0.099729888,9,46.306,3,2009,1,2,2,559.272,0
1,20.25,1,0.018801549,6,222.1772,6,2004,2,1,1,5559.43,3
2,8.695,0,0.119721451,9,95.5094,9,1999,1,0,1,1237.7222,1
0,7.27,0,0.071222087,14,113.5518,7,2002,1,1,1,569.259,1
1,12.6,1,0.060371962,2,174.0712,5,1985,1,2,3,3866.9664,2
1,12.85,0,0.033287541,6,198.4768,7,2002,1,1,1,1379.5376,2
1,7.075,0,0.05858462,4,142.7128,3,2009,1,2,2,1869.5664,2
1,12.6,1,0.11679292,0,196.211,5,1985,1,2,3,5499.508,2
1,8.195,0,0.031452265,0,94.3462,9,1999,1,0,1,925.462,1
1,7.09,0,0.00721395,0,47.9034,6,2004,2,1,1,583.2408,0
2,6.095,0,0.081196619,11,141.4154,8,1997,2,0,1,1418.154,2
1,19.35,1,0.049916364,6,80.2644,2,2007,1,1,1,942.7728,1
1,6.15,0,0.04627095,0,99.3384,8,1997,2,0,1,2364.9216,1
1,12.6,1,0.02747716,3,87.9856,5,1985,1,2,3,3251.7672,1
1,12.6,1,0.104704537,6,125.2678,4,1985,2,0,0,254.3356,1
2,17.7,0,0.012540003,9,167.0474,6,2004,2,1,1,5895.659,2
1,17.85,0,0.147023834,1,93.7436,3,2009,1,2,2,1134.5232,1
0,15.75,0,0.141398626,7,250.5382,2,2007,1,1,1,2775.7202,3
1,7.475,0,0.148821808,6,241.2854,7,2002,1,1,1,5317.0788,3
1,6.445,0,0.029691762,0,92.6436,8,1997,2,0,1,1039.9796,1
1,19.1,0,0.096715523,6,235.0958,6,2004,2,1,1,3038.0454,3
1,20.25,1,0.014790559,4,193.6162,6,2004,2,1,1,3848.324,2
1,15.0,1,0.054378253,3,59.1904,8,1997,2,0,1,527.3136,0
1,6.67,1,0.123428594,13,89.1514,8,1997,2,0,1,2390.8878,1
1,12.6,1,0.029943463,3,60.222,5,1985,1,2,3,1677.816,0
1,16.7,1,0.052368061,5,112.7176,1,1987,0,2,1,801.6232,1
1,7.07,0,0.093861144,13,115.5834,7,2002,1,1,1,1267.0174,1
1,6.48,0,0.033968647,13,148.0076,7,2002,1,1,1,886.8456,2
1,19.0,1,0.173154079,6,228.272,0,1998,2,2,0,452.744,3
1,13.35,0,0.139735226,5,147.5392,7,2002,1,1,1,3877.6192,2
1,12.6,0,0.043351896,6,146.6418,5,1985,1,2,3,4414.254,2
0,12.6,0,0.042086652,7,122.4388,5,1985,1,2,3,5448.9072,1
1,9.695,1,0.12848269,0,223.9404,9,1999,1,0,1,4950.8888,3
0,15.0,0,0.049357077,14,62.6168,2,2007,1,1,1,958.752,0
1,11.15,1,0.008326735,4,149.9708,2,2007,1,1,1,1956.1204,2
1,20.85,0,0.021362955,6,103.2306,9,1999,1,0,1,2404.2038,1
2,9.8,0,0.151420934,11,194.3478,0,1998,2,2,0,387.4956,2
1,16.35,0,0.032511818,10,165.0842,1,1987,0,2,1,994.7052,2
1,9.6,1,0.022323658,1,101.299,7,2002,1,1,1,1754.383,1
2,12.6,0,0.019292355,8,129.9994,5,1985,1,2,3,3340.9844,1
1,13.35,0,0.048124443,1,216.7166,7,2002,1,1,1,3918.8988,3
0,20.7,0,0.09261307,4,76.367,1,1987,0,2,1,306.268,1
1,12.6,0,0.094697274,0,158.4604,5,1985,1,2,3,4278.4308,2
1,16.2,0,0.035984104,6,260.6278,7,2002,1,1,1,4425.5726,3
1,12.6,0,0.2047,5,76.867,4,1985,2,0,0,229.701,1
1,12.6,1,0.020618324,2,129.3994,5,1985,1,2,3,2055.9904,1
2,5.5,0,0.04709821,11,101.3016,8,1997,2,0,1,3339.6528,1
1,15.1,1,0.087584126,6,221.7456,7,2002,1,1,1,6410.3224,3
1,15.7,1,0.038078899,5,122.9046,2,2007,1,1,1,1992.0736,1
1,7.895,1,0.095102092,2,104.4332,2,2007,1,1,1,2870.9296,1
1,12.6,1,0.011953902,3,164.5184,5,1985,1,2,3,2807.0128,2
1,17.35,1,0.062799379,0,88.183,1,1987,0,2,1,539.298,1
2,7.285,0,0.031125709,9,174.3054,1,1987,0,2,1,4377.635,2
2,20.25,0,0.026005891,9,180.9976,7,2002,1,1,1,2716.464,2
1,12.6,0,0.09246392,13,190.9504,4,1985,2,0,0,383.5008,2
0,15.85,0,0.107765165,14,59.5904,9,1999,1,0,1,703.0848,0
1,6.17,0,0.010647477,10,66.3826,9,1999,1,0,1,1937.478,0
2,19.5,0,0.015749341,9,182.2608,9,1999,1,0,1,3307.6944,2
2,19.2,0,0.077628053,9,197.611,9,1999,1,0,1,3142.576,2
1,20.85,1,0.056695731,1,104.0648,3,2009,1,2,2,1869.5664,1
1,14.5,1,0.063993068,1,260.4594,7,2002,1,1,1,5494.8474,3
1,11.395,1,0.069529262,10,233.1616,1,1987,0,2,1,6093.4016,3
0,7.97,0,0.034452949,14,174.0422,8,1997,2,0,1,2586.633,2
1,7.71,1,0.06670068,13,55.2956,9,1999,1,0,1,1255.6988,0
1,19.25,1,0.034699737,3,141.7496,8,1997,2,0,1,4093.3384,2
1,7.075,0,0.058346939,4,142.2128,8,1997,2,0,1,3163.8816,2
1,12.6,1,0.065203103,10,166.0816,5,1985,1,2,3,5033.448,2
1,11.6,1,0.078929571,5,79.9276,8,1997,2,0,1,1137.1864,1
1,12.6,0,0.182514881,6,98.77,5,1985,1,2,3,2696.49,1
0,12.1,0,0.016895293,7,178.566,3,2009,1,2,2,898.83,2
2,10.0,0,0.073379745,8,118.244,8,1997,2,0,1,2756.412,1
1,14.35,0,0.08075758,0,81.896,7,2002,1,1,1,878.856,1
1,10.395,0,0.112271498,13,58.222,9,1999,1,0,1,659.142,0
1,12.6,0,0.153741385,4,182.6292,4,1985,2,0,0,182.4292,2
1,8.1,0,0.127929521,6,211.4902,1,1987,0,2,1,3610.6334,3
1,8.05,1,0.07838564,6,256.4646,6,2004,2,1,1,5153.292,3
1,9.195,1,0.078502143,10,108.7596,2,2007,1,1,1,2588.6304,1
1,20.7,1,0.047684831,4,212.5876,3,2009,1,2,2,1286.3256,3
1,15.7,1,0.123159656,6,110.1544,2,2007,1,1,1,1230.3984,1
2,12.6,0,0.053392944,8,193.8162,4,1985,2,0,0,384.8324,2
2,16.5,0,0.036715907,9,180.0318,7,2002,1,1,1,3969.4996,2
1,6.785,1,0.041947547,10,41.2112,1,1987,0,2,1,809.6128,0
1,19.5,0,0.082888496,3,178.6002,3,2009,1,2,2,1253.7014,2
1,7.575,0,0.055390121,4,195.2768,8,1997,2,0,1,5715.2272,2
1,18.2,1,0.012194556,6,57.7904,1,1987,0,2,1,1464.76,0
1,16.75,0,0.060495243,4,169.8106,1,1987,0,2,1,3251.1014,2
1,12.6,1,0.014753811,6,231.7958,5,1985,1,2,3,5375.0034,3
1,12.6,0,0.160707489,6,38.019,5,1985,1,2,3,1318.284,0
1,13.85,1,0.085622362,10,119.4124,3,2009,1,2,2,2251.7356,1
1,6.635,1,0.046350909,5,37.4506,2,2007,1,1,1,1176.4686,0
1,6.11,1,0.102920886,6,130.4968,8,1997,2,0,1,3523.4136,1
1,15.25,0,0.026604781,13,86.2198,6,2004,2,1,1,610.5386,1
